Name,Number,Date,Nikil Saval,Christine M. Tartaglione,Sharif Street,Art Haywood,Joe Picozzi,Frank A. Farry,Vincent J. Hughes,Anthony H. Williams,John I. Kane,Steven J. Santarsiero,Judith L. Schwank,Maria Collett,Scott Martin,Nick Miller,Patty Kim,Jarrett Coleman,Amanda M. Cappelletti,Lisa M. Boscola,Carolyn T. Comitta,Lisa Baker,Scott E. Hutchinson,Marty Flynn,Gene Yaw,Tracy Pennycuick,Cris Dush,Timothy P. Kearney,Lynda Schlegel Culver,Kristin Phillips-Hill,David G. Argall,Judy Ward,Dawn W. Keefer,Patrick J. Stefano,Doug Mastriano,Greg Rothman,Wayne Langerholc,James Andrew Malone,Devlin J. Robinson,Lindsey M. Williams,Kim L. Ward,Rosemary M. Brown,Joe Pittman,Wayne D. Fontana,Jay Costa,Katie J. Muth,Nick Pisciottano,Camera Bartolotta,Elder A. Vogel,Chris Gebhard,Daniel Laughlin,Michele Brooks
District,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Party,,,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Republican,Democrat,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican,Republican,Republican
QUORUM YEAS = PRESENT,1,2025-01-07 12:33:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y
Senate Resolution 2,2,2025-01-07 13:11:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,X,Y,N,Y,Y,Y,Y,Y,Y
Senate Resolution 1 Reconsidered,3,2025-01-07 13:14:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,X,Y,N,Y,Y,Y,Y,Y,Y
Senate Resolution 3,4,2025-01-07 13:15:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,X,Y,N,Y,Y,Y,Y,Y,Y
Senate Resolution 4 Referred to the Committee on Rules,5,2025-01-07 13:22:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,X,N,N,N,Y,Y,Y,Y,Y
Senate Resolution 5 Recommit to the Committee on Rules,6,2025-01-07 13:26:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,X,N,N,N,Y,Y,Y,Y,Y
Senate Resolution 6 Recommit to the Committee on Rules,7,2025-01-07 13:33:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,X,N,N,N,Y,Y,Y,Y,Y
Weekly Recess,8,2025-01-27 13:14:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Senate Bill 184 PN 0128 motion to consider bill on second consideration,9,2025-01-28 13:16:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Senate Bill 78 PN 0034 motion to consider bill on second consideration,10,2025-01-29 11:19:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Senate Bill 184 PN 0128 Final Passage,11,2025-01-29 12:09:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Senate Bill 153 PN 0103 Final Passage,12,2025-01-29 12:16:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
Senate Bill 155 PN 0105 Final Passage,13,2025-01-29 12:26:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
Senate Bill 156 PN 0106 Final Passage,14,2025-01-29 12:31:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
Senate Bill 157 PN 0107 Final Passage,15,2025-01-29 12:37:00,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
